annee_deces,nom,sexe,date_naissance,precision_naissance,date_deces,precision_deces,age_au_deces,nb_editions_wikipedia,dates_ambigues,article_wikipedia_fr,wikidata_id
2005,Gilles Aillaud,homme,1928-06-05,jour,2005-03-24,jour,76,9,,https://fr.wikipedia.org/wiki/Gilles_Aillaud,Q1366342
2005,Pierre Duny Petre,homme,1914-04-03,jour,2005-03-24,jour,90,3,,https://fr.wikipedia.org/wiki/Pierre_Duny-P%C3%A9tr%C3%A9,Q12265953
2005,Achiam,homme,1916-02-10,jour,2005-03-26,jour,89,8,,https://fr.wikipedia.org/wiki/Achiam,Q1887115
2005,Anne Primout,femme,1890-10-05,jour,2005-03-26,jour,114,4,,https://fr.wikipedia.org/wiki/Anne_Primout,Q65032133
2005,Jean Joly,homme,1920-08-09,jour,2005-03-26,jour,84,1,,https://fr.wikipedia.org/wiki/Jean_Joly_(r%C3%A9sistant),Q63412838
2005,Hubert Prats,homme,1923-10-17,jour,2005-03-27,jour,81,1,,https://fr.wikipedia.org/wiki/Hubert_Prats,Q122362912
2005,Fernand Méric,homme,1920-05-30,jour,2005-03-28,jour,84,1,,https://fr.wikipedia.org/wiki/Fernand_M%C3%A9ric,Q3069282
2005,Jean Maurel,homme,1919-06-19,jour,2005-03-28,jour,85,1,,https://fr.wikipedia.org/wiki/Jean_Maurel_(r%C3%A9alisateur_radiophonique),Q109037515
2005,André Truong Trong Thi,homme,1936-01-30,jour,2005-03-29,jour,69,5,,https://fr.wikipedia.org/wiki/Andr%C3%A9_Truong_Trong_Thi,Q2848724
2005,Arthur Beylerian,homme,1925-12-26,jour,2005-03-29,jour,79,2,,,Q55627228
2005,Ginette Javaux,femme,1915-05-19,jour,2005-03-29,jour,89,2,,https://fr.wikipedia.org/wiki/Ginette_Javaux,Q3106728
2005,Michel Arnoult,homme,1922,année,2005-03-29,jour,,1,,,Q10329479
2005,Michel Grisolia,homme,1948-08-12,jour,2005-03-29,jour,56,1,,https://fr.wikipedia.org/wiki/Michel_Grisolia,Q3309824
2005,Pierre Palué,homme,1920-05-13,jour,2005-03-29,jour,84,1,,https://fr.wikipedia.org/wiki/Pierre_Palu%C3%A9,Q3386496
2005,Élisabeth de Miribel,femme,1915-08-19,jour,2005-03-29,jour,89,4,,https://fr.wikipedia.org/wiki/%C3%89lisabeth_de_Miribel,Q3587936
2005,Georges Audouy,homme,1926-05-18,jour,2005-03-30,jour,78,1,,,Q11860400
2005,Camil Baciu,homme,1926-06-21,jour,2005-04,mois,,3,,,Q12723351
2005,Louis Doutreleau,homme,1909-07-06,jour,2005-04-01,jour,95,1,,,Q6687043
2005,Gérard Faucomprez,homme,1944-10-09,jour,2005-04-02,jour,60,2,,https://fr.wikipedia.org/wiki/G%C3%A9rard_Faucomprez,Q21091513
2005,Jacques Poitrenaud,homme,1922-05-22,jour,2005-04-02,jour,82,11,,https://fr.wikipedia.org/wiki/Jacques_Poitrenaud,Q3159793
2005,Jacques Rabemananjara,homme,1913-06-23,jour,2005-04-02,jour,91,12,,https://fr.wikipedia.org/wiki/Jacques_Rabemananjara,Q1374750
2005,Jacques-Émile Dubois,homme,1920-04-13,jour,2005-04-02,jour,84,5,,https://fr.wikipedia.org/wiki/Jacques-%C3%89mile_Dubois,Q3158084
2005,Jean-Jacques Varoujean,homme,1927-08-10,jour,2005-04-02,jour,77,2,,https://fr.wikipedia.org/wiki/Jean-Jacques_Varoujean,Q3166434
2005,Paulette Fink,femme,1911-10-22,jour,2005-04-02,jour,93,5,,https://fr.wikipedia.org/wiki/Paulette_Fink,Q88766484
2005,Stanislas Breton,homme,1912-06-03,jour,2005-04-02,jour,92,5,,https://fr.wikipedia.org/wiki/Stanislas_Breton,Q3496648
2005,Kader Firoud,homme,1919-10-11,jour,2005-04-03,jour,85,9,,https://fr.wikipedia.org/wiki/Kader_Firoud,Q1638957
2005,Romaine Lorquet,femme,1921-02-03,jour,2005-04-03,jour,84,1,,https://fr.wikipedia.org/wiki/Romaine_Lorquet,Q17350747
2005,Blanchette Brunoy,femme,1915-10-05,jour,2005-04-04,jour,89,12,,https://fr.wikipedia.org/wiki/Blanchette_Brunoy,Q2906056
2005,Jacques Chauviré,homme,1915-02-22,jour,2005-04-04,jour,90,1,,https://fr.wikipedia.org/wiki/Jacques_Chauvir%C3%A9,Q3158525
2005,Jean-Marie Courtin,homme,1935-07-07,jour,2005-04-04,jour,69,1,,https://fr.wikipedia.org/wiki/Jean-Marie_Courtin,Q3167621
2005,Bernard Mayaud,homme,1925-09-04,jour,2005-04-05,jour,79,1,,https://fr.wikipedia.org/wiki/Bernard_Mayaud,Q57583965
2005,Jacques Roux,homme,1923-01-06,jour,2005-04-05,jour,82,1,,https://fr.wikipedia.org/wiki/Jacques_Roux_(1923-2005),Q16644411
2005,Michel Fontaine,homme,1934-01-26,jour,2005-04-05,jour,71,2,,,Q23682746
2005,Gaby Verlor,femme,1921-11-20,jour,2005-04-06,jour,83,1,,https://fr.wikipedia.org/wiki/Gaby_Verlor,Q3094189
2005,Odile Grand,femme,1931-03-18,jour,2005-04-06,jour,74,2,,https://fr.wikipedia.org/wiki/Odile_Grand,Q112523065
2005,Charles Kuentz,homme,1897-02-18,jour,2005-04-07,jour,108,6,,https://fr.wikipedia.org/wiki/Charles_Kuentz,Q87740
2005,John Carter Bacot,homme,1933-02-07,jour,2005-04-07,jour,72,2,,https://fr.wikipedia.org/wiki/John_Carter_Bacot,Q6105102
2005,Yuri Gutsatz,homme,1914-07-06,jour,2005-04-07,jour,90,3,,https://fr.wikipedia.org/wiki/Yuri_Gutsatz,Q39487150
2005,Marcel Clément,homme,1921-03-11,jour,2005-04-08,jour,84,3,,https://fr.wikipedia.org/wiki/Marcel_Cl%C3%A9ment,Q3288808
2005,Maurice Lafont,homme,1927-09-13,jour,2005-04-08,jour,77,19,,https://fr.wikipedia.org/wiki/Maurice_Lafont,Q1375905
2005,Claude Greder,homme,1934-02-08,jour,2005-04-09,jour,71,2,,,Q76824165
2005,Jacques Ferrière,homme,1932-12-06,jour,2005-04-09,jour,72,5,,https://fr.wikipedia.org/wiki/Jacques_Ferri%C3%A8re,Q3158888
2005,Jean-Roger Lafitte,homme,1922-05-10,jour,2005-04-09,jour,82,1,,https://fr.wikipedia.org/wiki/Jean-Roger_Lafitte,Q42887132
2005,Marguerite Fabre,femme,1920-06-28,jour,2005-04-09,jour,84,1,,https://fr.wikipedia.org/wiki/Marguerite_Fabre,Q107734268
2005,Matthias Favier,homme,1990-05-05,jour,2005-04-09,jour,14,1,,,Q61818759
2005,Roger Decottignies,homme,1923-04-11,jour,2005-04-10,jour,81,1,,https://fr.wikipedia.org/wiki/Roger_Decottignies,Q3438878
2005,André François,homme,1915-11-09,jour,2005-04-11,jour,89,10,,https://fr.wikipedia.org/wiki/Andr%C3%A9_Fran%C3%A7ois_(peintre),Q768971
2005,Boyan Raïnov,homme,1921-02-22,jour,2005-04-11,jour,84,2,,https://fr.wikipedia.org/wiki/Boyan_Ra%C3%AFnov,Q20497452
2005,Jean-Pierre Campredon,homme,1916-02-06,jour,2005-04-11,jour,89,1,,,Q1685184
2005,Lucien Laurent,homme,1907-12-10,jour,2005-04-11,jour,97,42,,https://fr.wikipedia.org/wiki/Lucien_Laurent,Q315286
2005,Alan Floor,homme,1948-04-11,jour,2005-04-12,jour,57,1,,https://fr.wikipedia.org/wiki/Alan_Floor,Q20046317
2005,Florin Abelès,homme,1922-10-20,jour,2005-04-12,jour,82,6,,https://fr.wikipedia.org/wiki/Florin_Abel%C3%A8s,Q3074310
2005,Louis de Guébriant,homme,1916-09-05,jour,2005-04-12,jour,88,1,,https://fr.wikipedia.org/wiki/Louis_de_Gu%C3%A9briant,Q3263474
2005,Jacques Diedrich,homme,1930-10-12,jour,2005-04-13,jour,74,1,,https://fr.wikipedia.org/wiki/Jacques_Diedrich,Q2366530
2005,Michel Tougouma,homme,1923,année,2005-04-13,jour,,1,,https://fr.wikipedia.org/wiki/Michel_Tougouma,Q20027751
2005,Jean Samaille,homme,1925-09-18,jour,2005-04-14,jour,79,1,,https://fr.wikipedia.org/wiki/Jean_Samaille,Q3174537
2005,Olivier Merlin,homme,1907-05-18,jour,2005-04-14,jour,97,1,,https://fr.wikipedia.org/wiki/Olivier_Merlin,Q3351216
2005,Fabrice Cayla,homme,1953-11-27,jour,2005-04-15,jour,51,1,,https://fr.wikipedia.org/wiki/Fabrice_Cayla,Q28151353
2005,Jean Pons,homme,1913-03-30,jour,2005-04-16,jour,92,2,,https://fr.wikipedia.org/wiki/Jean_Pons_(1913-2005),Q17426806
2005,André Emlinger,homme,1909-08-27,jour,2005-04-17,jour,95,1,,https://fr.wikipedia.org/wiki/Andr%C3%A9_Emlinger,Q2847719
2005,Lucien Masset,homme,1914-05-11,jour,2005-04-17,jour,90,4,,https://fr.wikipedia.org/wiki/Lucien_Masset,Q3265632
2005,François Bouché,homme,1924-07-17,jour,2005-04-18,jour,80,1,,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Bouch%C3%A9,Q3084052
2005,Roger Rossinelli,homme,1927-08-10,jour,2005-04-18,jour,77,3,,https://fr.wikipedia.org/wiki/Roger_Rossinelli,Q98768397
2005,André Poisson,homme,1923-02-28,jour,2005-04-20,jour,82,2,,https://fr.wikipedia.org/wiki/Andr%C3%A9_Poisson,Q60831090
2005,Paulette Lévy,femme,1918-10-10,jour,2005-04-20,jour,86,1,,https://fr.wikipedia.org/wiki/Paulette_L%C3%A9vy,Q92438340
2005,Henri Szwarc,homme,1928-07-19,jour,2005-04-22,jour,76,3,,https://fr.wikipedia.org/wiki/Henri_Szwarc,Q3132047
2005,Guy Millot,homme,1925-01-31,jour,2005-04-24,jour,80,2,,https://fr.wikipedia.org/wiki/Guy_Millot,Q3122016
2005,Arlette Leroi-Gourhan,femme,1913-01-09,jour,2005-04-25,jour,92,4,,https://fr.wikipedia.org/wiki/Arlette_Leroi-Gourhan,Q22920732
2005,Claude Lorieux,homme,1936-12-17,jour,2005-04-25,jour,68,1,,https://fr.wikipedia.org/wiki/Claude_Lorieux,Q2977714
