year,sexe,age,esperance
2014,femmes,39,47.2
2015,femmes,39,46.9
2016,femmes,39,47.1
2017,femmes,39,47.1
2018,femmes,39,47.3
2019,femmes,39,47.4
2020,femmes,39,46.9
2021,femmes,39,47.0
2022,femmes,39,47.0
2023,femmes,39,47.5
2024,femmes,39,47.6
1998,femmes,40,43.8
1999,femmes,40,43.9
2000,femmes,40,44.1
2001,femmes,40,44.1
2002,femmes,40,44.1
2003,femmes,40,43.8
2004,femmes,40,44.8
2005,femmes,40,44.8
2006,femmes,40,45.4
2007,femmes,40,45.7
2008,femmes,40,45.7
2009,femmes,40,45.9
2010,femmes,40,46.1
2011,femmes,40,46.6
2012,femmes,40,46.2
2013,femmes,40,46.5
2014,femmes,40,46.2
2015,femmes,40,45.9
2016,femmes,40,46.2
2017,femmes,40,46.2
2018,femmes,40,46.3
2019,femmes,40,46.4
2020,femmes,40,45.9
2021,femmes,40,46.0
2022,femmes,40,46.0
2023,femmes,40,46.5
2024,femmes,40,46.6
1998,femmes,41,42.9
1999,femmes,41,42.9
2000,femmes,41,43.2
2001,femmes,41,43.2
2002,femmes,41,43.1
2003,femmes,41,42.8
2004,femmes,41,43.9
2005,femmes,41,43.8
2006,femmes,41,44.4
2007,femmes,41,44.7
2008,femmes,41,44.8
2009,femmes,41,44.9
2010,femmes,41,45.2
2011,femmes,41,45.6
2012,femmes,41,45.3
2013,femmes,41,45.5
2014,femmes,41,45.2
2015,femmes,41,45.0
2016,femmes,41,45.2
2017,femmes,41,45.2
2018,femmes,41,45.3
2019,femmes,41,45.4
2020,femmes,41,44.9
2021,femmes,41,45.1
2022,femmes,41,45.0
2023,femmes,41,45.6
2024,femmes,41,45.7
1998,femmes,42,41.9
1999,femmes,42,42.0
2000,femmes,42,42.2
2001,femmes,42,42.2
2002,femmes,42,42.2
2003,femmes,42,41.9
2004,femmes,42,42.9
2005,femmes,42,42.9
2006,femmes,42,43.5
2007,femmes,42,43.8
2008,femmes,42,43.8
2009,femmes,42,44.0
2010,femmes,42,44.2
2011,femmes,42,44.6
2012,femmes,42,44.3
2013,femmes,42,44.5
2014,femmes,42,44.3
2015,femmes,42,44.0
2016,femmes,42,44.2
2017,femmes,42,44.2
2018,femmes,42,44.4
2019,femmes,42,44.5
2020,femmes,42,44.0
2021,femmes,42,44.1
2022,femmes,42,44.1
2023,femmes,42,44.6
2024,femmes,42,44.7
1998,femmes,43,41.0
1999,femmes,43,41.0
2000,femmes,43,41.3
2001,femmes,43,41.3
2002,femmes,43,41.2
2003,femmes,43,40.9
2004,femmes,43,42.0
2005,femmes,43,41.9
2006,femmes,43,42.5
2007,femmes,43,42.8
2008,femmes,43,42.9
2009,femmes,43,43.0
2010,femmes,43,43.3
2011,femmes,43,43.7
2012,femmes,43,43.3
2013,femmes,43,43.6
2014,femmes,43,43.3
2015,femmes,43,43.1
2016,femmes,43,43.3
2017,femmes,43,43.3
2018,femmes,43,43.4
2019,femmes,43,43.5
2020,femmes,43,43.0
2021,femmes,43,43.1
2022,femmes,43,43.1
2023,femmes,43,43.6
2024,femmes,43,43.7
1998,femmes,44,40.1
1999,femmes,44,40.1
2000,femmes,44,40.3
2001,femmes,44,40.4
2002,femmes,44,40.3
2003,femmes,44,40.0
2004,femmes,44,41.0
2005,femmes,44,41.0
2006,femmes,44,41.6
2007,femmes,44,41.9
2008,femmes,44,41.9
2009,femmes,44,42.1
2010,femmes,44,42.3
2011,femmes,44,42.7
2012,femmes,44,42.4
2013,femmes,44,42.6
2014,femmes,44,42.4
2015,femmes,44,42.1
2016,femmes,44,42.3
2017,femmes,44,42.3
2018,femmes,44,42.5
2019,femmes,44,42.5
2020,femmes,44,42.1
2021,femmes,44,42.2
2022,femmes,44,42.1
2023,femmes,44,42.7
2024,femmes,44,42.8
1998,femmes,45,39.1
1999,femmes,45,39.2
2000,femmes,45,39.4
2001,femmes,45,39.4
2002,femmes,45,39.3
2003,femmes,45,39.0
2004,femmes,45,40.1
2005,femmes,45,40.0
2006,femmes,45,40.7
2007,femmes,45,40.9
2008,femmes,45,41.0
2009,femmes,45,41.1
2010,femmes,45,41.4
2011,femmes,45,41.8
2012,femmes,45,41.4
2013,femmes,45,41.7
2014,femmes,45,41.4
2015,femmes,45,41.1
2016,femmes,45,41.4
2017,femmes,45,41.4
2018,femmes,45,41.5
2019,femmes,45,41.6
2020,femmes,45,41.1
2021,femmes,45,41.2
2022,femmes,45,41.2
2023,femmes,45,41.7
2024,femmes,45,41.8
1998,femmes,46,38.2
1999,femmes,46,38.2
2000,femmes,46,38.5
2001,femmes,46,38.5
2002,femmes,46,38.4
2003,femmes,46,38.1
2004,femmes,46,39.2
2005,femmes,46,39.1
2006,femmes,46,39.7
2007,femmes,46,40.0
2008,femmes,46,40.1
2009,femmes,46,40.2
2010,femmes,46,40.4
2011,femmes,46,40.8
2012,femmes,46,40.5
2013,femmes,46,40.7
2014,femmes,46,40.5
2015,femmes,46,40.2
2016,femmes,46,40.4
2017,femmes,46,40.4
2018,femmes,46,40.6
2019,femmes,46,40.6
2020,femmes,46,40.1
2021,femmes,46,40.3
2022,femmes,46,40.2
2023,femmes,46,40.8
2024,femmes,46,40.9
1998,femmes,47,37.3
1999,femmes,47,37.3
2000,femmes,47,37.5
2001,femmes,47,37.6
2002,femmes,47,37.5
2003,femmes,47,37.2
2004,femmes,47,38.2
2005,femmes,47,38.2
2006,femmes,47,38.8
2007,femmes,47,39.1
2008,femmes,47,39.1
2009,femmes,47,39.3
2010,femmes,47,39.5
2011,femmes,47,39.9
2012,femmes,47,39.6
2013,femmes,47,39.8
2014,femmes,47,39.5
2015,femmes,47,39.3
2016,femmes,47,39.5
2017,femmes,47,39.5
2018,femmes,47,39.6
2019,femmes,47,39.7
2020,femmes,47,39.2
2021,femmes,47,39.3
2022,femmes,47,39.3
2023,femmes,47,39.8
2024,femmes,47,39.9
1998,femmes,48,36.3
1999,femmes,48,36.4
2000,femmes,48,36.6
2001,femmes,48,36.6
2002,femmes,48,36.6
2003,femmes,48,36.3
2004,femmes,48,37.3
2005,femmes,48,37.2
2006,femmes,48,37.9
2007,femmes,48,38.1
2008,femmes,48,38.2
2009,femmes,48,38.3
2010,femmes,48,38.6
2011,femmes,48,39.0
2012,femmes,48,38.6
2013,femmes,48,38.8
2014,femmes,48,38.6
2015,femmes,48,38.3
2016,femmes,48,38.5
2017,femmes,48,38.5
2018,femmes,48,38.7
2019,femmes,48,38.8
2020,femmes,48,38.3
2021,femmes,48,38.4
2022,femmes,48,38.3
2023,femmes,48,38.9
2024,femmes,48,39.0
1998,femmes,49,35.4
1999,femmes,49,35.5
2000,femmes,49,35.7
2001,femmes,49,35.7
2002,femmes,49,35.6
2003,femmes,49,35.3
2004,femmes,49,36.4
2005,femmes,49,36.3
2006,femmes,49,36.9
2007,femmes,49,37.2
2008,femmes,49,37.3
2009,femmes,49,37.4
2010,femmes,49,37.6
2011,femmes,49,38.0
2012,femmes,49,37.7
2013,femmes,49,37.9
2014,femmes,49,37.7
2015,femmes,49,37.4
2016,femmes,49,37.6
2017,femmes,49,37.6
2018,femmes,49,37.7
2019,femmes,49,37.8
2020,femmes,49,37.3
2021,femmes,49,37.4
2022,femmes,49,37.4
2023,femmes,49,37.9
2024,femmes,49,38.0
1998,femmes,50,34.5
1999,femmes,50,34.5
2000,femmes,50,34.8
2001,femmes,50,34.8
2002,femmes,50,34.7
2003,femmes,50,34.4
2004,femmes,50,35.5
2005,femmes,50,35.4
2006,femmes,50,36.0
2007,femmes,50,36.3
2008,femmes,50,36.3
2009,femmes,50,36.5
2010,femmes,50,36.7
2011,femmes,50,37.1
2012,femmes,50,36.8
2013,femmes,50,37.0
2014,femmes,50,36.7
2015,femmes,50,36.4
2016,femmes,50,36.7
2017,femmes,50,36.7
2018,femmes,50,36.8
2019,femmes,50,36.9
2020,femmes,50,36.4
2021,femmes,50,36.5
2022,femmes,50,36.5
2023,femmes,50,37.0
2024,femmes,50,37.1
1998,femmes,51,33.6
1999,femmes,51,33.6
2000,femmes,51,33.9
2001,femmes,51,33.9
2002,femmes,51,33.8
2003,femmes,51,33.5
2004,femmes,51,34.6
2005,femmes,51,34.5
2006,femmes,51,35.1
2007,femmes,51,35.4
2008,femmes,51,35.4
2009,femmes,51,35.6
2010,femmes,51,35.8
2011,femmes,51,36.2
2012,femmes,51,35.8
2013,femmes,51,36.1
2014,femmes,51,35.8
2015,femmes,51,35.5
2016,femmes,51,35.7
2017,femmes,51,35.7
2018,femmes,51,35.9
2019,femmes,51,36.0
2020,femmes,51,35.5
2021,femmes,51,35.6
2022,femmes,51,35.5
2023,femmes,51,36.1
2024,femmes,51,36.1
1998,femmes,52,32.7
1999,femmes,52,32.7
2000,femmes,52,33.0
2001,femmes,52,33.0
2002,femmes,52,32.9
2003,femmes,52,32.6
2004,femmes,52,33.7
2005,femmes,52,33.6
2006,femmes,52,34.2
2007,femmes,52,34.5
2008,femmes,52,34.5
2009,femmes,52,34.7
2010,femmes,52,34.9
2011,femmes,52,35.3
2012,femmes,52,34.9
2013,femmes,52,35.2
2014,femmes,52,34.9
2015,femmes,52,34.6
2016,femmes,52,34.8
2017,femmes,52,34.8
2018,femmes,52,34.9
2019,femmes,52,35.0
2020,femmes,52,34.5
2021,femmes,52,34.6
2022,femmes,52,34.6
2023,femmes,52,35.1
2024,femmes,52,35.2
1998,femmes,53,31.8
1999,femmes,53,31.8
2000,femmes,53,32.0
2001,femmes,53,32.1
2002,femmes,53,32.0
2003,femmes,53,31.7
2004,femmes,53,32.7
2005,femmes,53,32.7
2006,femmes,53,33.3
2007,femmes,53,33.6
2008,femmes,53,33.6
2009,femmes,53,33.8
2010,femmes,53,34.0
2011,femmes,53,34.4
2012,femmes,53,34.0
2013,femmes,53,34.2
2014,femmes,53,34.0
2015,femmes,53,33.7
2016,femmes,53,33.9
2017,femmes,53,33.9
2018,femmes,53,34.0
2019,femmes,53,34.1
2020,femmes,53,33.6
2021,femmes,53,33.7
2022,femmes,53,33.7
2023,femmes,53,34.2
2024,femmes,53,34.3
1998,femmes,54,30.9
1999,femmes,54,30.9
2000,femmes,54,31.1
2001,femmes,54,31.2
2002,femmes,54,31.1
2003,femmes,54,30.8
2004,femmes,54,31.8
2005,femmes,54,31.8
2006,femmes,54,32.4
2007,femmes,54,32.7
2008,femmes,54,32.7
2009,femmes,54,32.9
2010,femmes,54,33.1
2011,femmes,54,33.5
2012,femmes,54,33.1
2013,femmes,54,33.3
2014,femmes,54,33.1
2015,femmes,54,32.8
2016,femmes,54,33.0
2017,femmes,54,33.0
2018,femmes,54,33.1
2019,femmes,54,33.2
2020,femmes,54,32.7
2021,femmes,54,32.8
2022,femmes,54,32.7
2023,femmes,54,33.3
2024,femmes,54,33.4
1998,femmes,55,30.0
1999,femmes,55,30.0
2000,femmes,55,30.2
2001,femmes,55,30.3
2002,femmes,55,30.2
2003,femmes,55,29.9
2004,femmes,55,30.9
2005,femmes,55,30.9
2006,femmes,55,31.5
2007,femmes,55,31.8
2008,femmes,55,31.8
2009,femmes,55,32.0
2010,femmes,55,32.2
2011,femmes,55,32.6
2012,femmes,55,32.2
2013,femmes,55,32.4
2014,femmes,55,32.1
2015,femmes,55,31.9
2016,femmes,55,32.1
2017,femmes,55,32.1
2018,femmes,55,32.2
2019,femmes,55,32.3
2020,femmes,55,31.8
2021,femmes,55,31.9
2022,femmes,55,31.8
2023,femmes,55,32.4
2024,femmes,55,32.4
1998,femmes,56,29.1
1999,femmes,56,29.1
2000,femmes,56,29.3
2001,femmes,56,29.4
2002,femmes,56,29.3
2003,femmes,56,29.0
2004,femmes,56,30.0
2005,femmes,56,30.0
2006,femmes,56,30.6
2007,femmes,56,30.9
2008,femmes,56,30.9
2009,femmes,56,31.1
2010,femmes,56,31.3
2011,femmes,56,31.7
2012,femmes,56,31.3
2013,femmes,56,31.5
2014,femmes,56,31.2
2015,femmes,56,31.0
2016,femmes,56,31.2
2017,femmes,56,31.2
2018,femmes,56,31.3
2019,femmes,56,31.4
2020,femmes,56,30.9
2021,femmes,56,31.0
2022,femmes,56,30.9
2023,femmes,56,31.5
2024,femmes,56,31.5
1998,femmes,57,28.2
1999,femmes,57,28.2
2000,femmes,57,28.5
2001,femmes,57,28.5
2002,femmes,57,28.4
2003,femmes,57,28.1
2004,femmes,57,29.1
2005,femmes,57,29.1
2006,femmes,57,29.7
2007,femmes,57,30.0
2008,femmes,57,30.0
2009,femmes,57,30.2
2010,femmes,57,30.4
2011,femmes,57,30.8
2012,femmes,57,30.4
2013,femmes,57,30.6
2014,femmes,57,30.3
2015,femmes,57,30.1
2016,femmes,57,30.3
2017,femmes,57,30.3
2018,femmes,57,30.4
2019,femmes,57,30.5
2020,femmes,57,30.0
2021,femmes,57,30.1
2022,femmes,57,30.0
2023,femmes,57,30.6
2024,femmes,57,30.6
1998,femmes,58,27.3
1999,femmes,58,27.3
2000,femmes,58,27.6
2001,femmes,58,27.6
2002,femmes,58,27.5
2003,femmes,58,27.2
2004,femmes,58,28.3
2005,femmes,58,28.2
2006,femmes,58,28.8
2007,femmes,58,29.1
2008,femmes,58,29.1
2009,femmes,58,29.3
2010,femmes,58,29.5
2011,femmes,58,29.9
2012,femmes,58,29.5
2013,femmes,58,29.7
2014,femmes,58,29.5
2015,femmes,58,29.2
2016,femmes,58,29.4
2017,femmes,58,29.4
2018,femmes,58,29.5
2019,femmes,58,29.6
2020,femmes,58,29.1
2021,femmes,58,29.2
2022,femmes,58,29.1
2023,femmes,58,29.7
2024,femmes,58,29.7
1998,femmes,59,26.4
1999,femmes,59,26.4
2000,femmes,59,26.7
2001,femmes,59,26.7
2002,femmes,59,26.6
2003,femmes,59,26.3
2004,femmes,59,27.4
2005,femmes,59,27.3
2006,femmes,59,27.9
2007,femmes,59,28.2
2008,femmes,59,28.2
2009,femmes,59,28.4
2010,femmes,59,28.6
2011,femmes,59,29.0
2012,femmes,59,28.6
2013,femmes,59,28.9
2014,femmes,59,28.6
2015,femmes,59,28.3
2016,femmes,59,28.5
2017,femmes,59,28.5
2018,femmes,59,28.6
2019,femmes,59,28.7
2020,femmes,59,28.2
2021,femmes,59,28.3
2022,femmes,59,28.2
2023,femmes,59,28.8
2024,femmes,59,28.8
1998,femmes,60,25.5
1999,femmes,60,25.6
2000,femmes,60,25.8
2001,femmes,60,25.8
2002,femmes,60,25.7
2003,femmes,60,25.4
2004,femmes,60,26.5
2005,femmes,60,26.4
2006,femmes,60,27.0
2007,femmes,60,27.3
2008,femmes,60,27.4
2009,femmes,60,27.5
2010,femmes,60,27.8
2011,femmes,60,28.1
2012,femmes,60,27.8
2013,femmes,60,28.0
2014,femmes,60,27.7
2015,femmes,60,27.4
2016,femmes,60,27.6
2017,femmes,60,27.6
2018,femmes,60,27.7
2019,femmes,60,27.8
2020,femmes,60,27.3
2021,femmes,60,27.4
2022,femmes,60,27.3
2023,femmes,60,27.9
2024,femmes,60,27.9
1998,femmes,61,24.6
1999,femmes,61,24.7
2000,femmes,61,24.9
2001,femmes,61,24.9
2002,femmes,61,24.9
2003,femmes,61,24.5
2004,femmes,61,25.6
2005,femmes,61,25.5
2006,femmes,61,26.2
2007,femmes,61,26.4
2008,femmes,61,26.5
2009,femmes,61,26.6
2010,femmes,61,26.9
2011,femmes,61,27.3
2012,femmes,61,26.9
2013,femmes,61,27.1
2014,femmes,61,26.8
2015,femmes,61,26.5
2016,femmes,61,26.7
2017,femmes,61,26.7
2018,femmes,61,26.9
2019,femmes,61,26.9
2020,femmes,61,26.4
2021,femmes,61,26.5
2022,femmes,61,26.5
2023,femmes,61,27.0
2024,femmes,61,27.1
1998,femmes,62,23.8
1999,femmes,62,23.8
2000,femmes,62,24.0
2001,femmes,62,24.1
2002,femmes,62,24.0
2003,femmes,62,23.7
2004,femmes,62,24.7
2005,femmes,62,24.6
2006,femmes,62,25.3
2007,femmes,62,25.6
2008,femmes,62,25.6
2009,femmes,62,25.8
2010,femmes,62,26.0
2011,femmes,62,26.4
2012,femmes,62,26.0
2013,femmes,62,26.2
2014,femmes,62,25.9
2015,femmes,62,25.6
2016,femmes,62,25.9
2017,femmes,62,25.9
2018,femmes,62,26.0
2019,femmes,62,26.1
2020,femmes,62,25.5
2021,femmes,62,25.7
2022,femmes,62,25.6
2023,femmes,62,26.1
2024,femmes,62,26.2
1998,femmes,63,22.9
1999,femmes,63,22.9
2000,femmes,63,23.2
2001,femmes,63,23.2
2002,femmes,63,23.1
2003,femmes,63,22.8
2004,femmes,63,23.9
2005,femmes,63,23.8
2006,femmes,63,24.4
2007,femmes,63,24.7
2008,femmes,63,24.7
2009,femmes,63,24.9
2010,femmes,63,25.1
2011,femmes,63,25.5
2012,femmes,63,25.1
2013,femmes,63,25.4
2014,femmes,63,25.0
2015,femmes,63,24.8
2016,femmes,63,25.0
2017,femmes,63,25.0
2018,femmes,63,25.1
2019,femmes,63,25.2
2020,femmes,63,24.7
2021,femmes,63,24.8
2022,femmes,63,24.7
2023,femmes,63,25.2
2024,femmes,63,25.3
1998,femmes,64,22.0
1999,femmes,64,22.1
2000,femmes,64,22.3
2001,femmes,64,22.3
2002,femmes,64,22.2
2003,femmes,64,21.9
2004,femmes,64,23.0
2005,femmes,64,22.9
2006,femmes,64,23.6
2007,femmes,64,23.8
2008,femmes,64,23.9
2009,femmes,64,24.0
2010,femmes,64,24.3
2011,femmes,64,24.6
2012,femmes,64,24.3
2013,femmes,64,24.5
2014,femmes,64,24.2
2015,femmes,64,23.9
2016,femmes,64,24.1
2017,femmes,64,24.1
2018,femmes,64,24.2
2019,femmes,64,24.3
2020,femmes,64,23.8
2021,femmes,64,23.9
2022,femmes,64,23.9
2023,femmes,64,24.4
2024,femmes,64,24.4
1998,femmes,65,21.2
1999,femmes,65,21.2
2000,femmes,65,21.4
2001,femmes,65,21.5
2002,femmes,65,21.4
2003,femmes,65,21.1
2004,femmes,65,22.1
2005,femmes,65,22.0
2006,femmes,65,22.7
2007,femmes,65,23.0
2008,femmes,65,23.0
2009,femmes,65,23.2
2010,femmes,65,23.4
2011,femmes,65,23.8
2012,femmes,65,23.4
2013,femmes,65,23.6
2014,femmes,65,23.3
2015,femmes,65,23.0
2016,femmes,65,23.2
2017,femmes,65,23.3
2018,femmes,65,23.4
2019,femmes,65,23.5
2020,femmes,65,22.9
2021,femmes,65,23.1
2022,femmes,65,23.0
2023,femmes,65,23.5
2024,femmes,65,23.6
1998,femmes,66,20.4
1999,femmes,66,20.4
2000,femmes,66,20.6
2001,femmes,66,20.6
2002,femmes,66,20.5
2003,femmes,66,20.2
2004,femmes,66,21.3
2005,femmes,66,21.2
2006,femmes,66,21.8
2007,femmes,66,22.1
2008,femmes,66,22.1
2009,femmes,66,22.3
2010,femmes,66,22.5
2011,femmes,66,22.9
2012,femmes,66,22.5
2013,femmes,66,22.8
2014,femmes,66,22.4
2015,femmes,66,22.2
2016,femmes,66,22.4
2017,femmes,66,22.4
2018,femmes,66,22.5
2019,femmes,66,22.6
2020,femmes,66,22.1
2021,femmes,66,22.2
2022,femmes,66,22.1
2023,femmes,66,22.7
2024,femmes,66,22.7
1998,femmes,67,19.5
1999,femmes,67,19.5
2000,femmes,67,19.7
2001,femmes,67,19.8
2002,femmes,67,19.7
2003,femmes,67,19.3
2004,femmes,67,20.4
2005,femmes,67,20.3
2006,femmes,67,21.0
2007,femmes,67,21.2
2008,femmes,67,21.3
2009,femmes,67,21.5
2010,femmes,67,21.7
2011,femmes,67,22.1
2012,femmes,67,21.7
2013,femmes,67,21.9
2014,femmes,67,21.6
2015,femmes,67,21.3
2016,femmes,67,21.5
2017,femmes,67,21.6
2018,femmes,67,21.7
2019,femmes,67,21.7
2020,femmes,67,21.2
2021,femmes,67,21.4
2022,femmes,67,21.3
2023,femmes,67,21.8
2024,femmes,67,21.9
1998,femmes,68,18.7
1999,femmes,68,18.7
2000,femmes,68,18.9
2001,femmes,68,18.9
2002,femmes,68,18.8
2003,femmes,68,18.5
2004,femmes,68,19.6
2005,femmes,68,19.5
2006,femmes,68,20.1
2007,femmes,68,20.4
2008,femmes,68,20.4
2009,femmes,68,20.6
2010,femmes,68,20.8
2011,femmes,68,21.2
2012,femmes,68,20.8
2013,femmes,68,21.0
2014,femmes,68,20.7
2015,femmes,68,20.4
2016,femmes,68,20.7
2017,femmes,68,20.7
2018,femmes,68,20.8
2019,femmes,68,20.9
2020,femmes,68,20.4
2021,femmes,68,20.5
2022,femmes,68,20.5
2023,femmes,68,21.0
2024,femmes,68,21.0
1998,femmes,69,17.9
1999,femmes,69,17.9
2000,femmes,69,18.1
2001,femmes,69,18.1
2002,femmes,69,18.0
2003,femmes,69,17.7
2004,femmes,69,18.7
2005,femmes,69,18.6
2006,femmes,69,19.3
2007,femmes,69,19.5
2008,femmes,69,19.6
2009,femmes,69,19.8
2010,femmes,69,20.0
2011,femmes,69,20.4
2012,femmes,69,20.0
2013,femmes,69,20.2
2014,femmes,69,19.9
2015,femmes,69,19.6
2016,femmes,69,19.8
2017,femmes,69,19.9
2018,femmes,69,20.0
2019,femmes,69,20.1
2020,femmes,69,19.6
2021,femmes,69,19.7
2022,femmes,69,19.6
2023,femmes,69,20.1
2024,femmes,69,20.2
1998,femmes,70,17.1
1999,femmes,70,17.1
2000,femmes,70,17.3
2001,femmes,70,17.3
2002,femmes,70,17.2
2003,femmes,70,16.8
2004,femmes,70,17.9
2005,femmes,70,17.8
2006,femmes,70,18.5
2007,femmes,70,18.7
2008,femmes,70,18.8
2009,femmes,70,18.9
2010,femmes,70,19.2
2011,femmes,70,19.5
2012,femmes,70,19.1
2013,femmes,70,19.4
2014,femmes,70,19.0
2015,femmes,70,18.8
2016,femmes,70,19.0
2017,femmes,70,19.0
2018,femmes,70,19.1
2019,femmes,70,19.2
2020,femmes,70,18.7
2021,femmes,70,18.9
2022,femmes,70,18.8
2023,femmes,70,19.3
2024,femmes,70,19.4
1998,femmes,71,16.3
1999,femmes,71,16.3
2000,femmes,71,16.5
2001,femmes,71,16.5
2002,femmes,71,16.4
2003,femmes,71,16.0
2004,femmes,71,17.1
2005,femmes,71,17.0
2006,femmes,71,17.6
2007,femmes,71,17.9
2008,femmes,71,17.9
2009,femmes,71,18.1
2010,femmes,71,18.3
2011,femmes,71,18.7
2012,femmes,71,18.3
2013,femmes,71,18.5
2014,femmes,71,18.2
2015,femmes,71,17.9
2016,femmes,71,18.2
2017,femmes,71,18.2
2018,femmes,71,18.3
2019,femmes,71,18.4
2020,femmes,71,17.9
2021,femmes,71,18.1
2022,femmes,71,18.0
2023,femmes,71,18.5
2024,femmes,71,18.5
1998,femmes,72,15.5
1999,femmes,72,15.5
2000,femmes,72,15.7
2001,femmes,72,15.7
2002,femmes,72,15.5
2003,femmes,72,15.2
2004,femmes,72,16.3
2005,femmes,72,16.2
2006,femmes,72,16.8
2007,femmes,72,17.1
2008,femmes,72,17.1
2009,femmes,72,17.3
2010,femmes,72,17.5
2011,femmes,72,17.9
2012,femmes,72,17.5
2013,femmes,72,17.7
2014,femmes,72,17.4
2015,femmes,72,17.1
2016,femmes,72,17.3
2017,femmes,72,17.4
2018,femmes,72,17.5
2019,femmes,72,17.6
2020,femmes,72,17.1
2021,femmes,72,17.3
2022,femmes,72,17.2
2023,femmes,72,17.7
2024,femmes,72,17.7
1998,femmes,73,14.7
1999,femmes,73,14.7
2000,femmes,73,14.9
2001,femmes,73,14.9
2002,femmes,73,14.8
2003,femmes,73,14.4
2004,femmes,73,15.5
2005,femmes,73,15.3
2006,femmes,73,16.0
2007,femmes,73,16.3
2008,femmes,73,16.3
2009,femmes,73,16.5
2010,femmes,73,16.7
2011,femmes,73,17.1
2012,femmes,73,16.7
2013,femmes,73,16.9
2014,femmes,73,16.5
2015,femmes,73,16.3
2016,femmes,73,16.5
2017,femmes,73,16.5
2018,femmes,73,16.7
2019,femmes,73,16.7
2020,femmes,73,16.3
2021,femmes,73,16.4
2022,femmes,73,16.4
2023,femmes,73,16.9
2024,femmes,73,16.9
1998,femmes,74,14.0
1999,femmes,74,13.9
2000,femmes,74,14.1
2001,femmes,74,14.1
2002,femmes,74,14.0
2003,femmes,74,13.6
2004,femmes,74,14.7
2005,femmes,74,14.6
2006,femmes,74,15.2
2007,femmes,74,15.5
2008,femmes,74,15.5
2009,femmes,74,15.7
2010,femmes,74,15.9
2011,femmes,74,16.3
2012,femmes,74,15.9
2013,femmes,74,16.1
2014,femmes,74,15.7
2015,femmes,74,15.5
2016,femmes,74,15.7
2017,femmes,74,15.7
2018,femmes,74,15.8
2019,femmes,74,15.9
2020,femmes,74,15.4
2021,femmes,74,15.6
2022,femmes,74,15.6
2023,femmes,74,16.0
2024,femmes,74,16.1
1998,femmes,75,13.2
1999,femmes,75,13.2
2000,femmes,75,13.4
2001,femmes,75,13.4
2002,femmes,75,13.2
2003,femmes,75,12.9
2004,femmes,75,13.9
2005,femmes,75,13.8
2006,femmes,75,14.4
2007,femmes,75,14.7
2008,femmes,75,14.8
2009,femmes,75,14.9
2010,femmes,75,15.1
2011,femmes,75,15.5
2012,femmes,75,15.1
2013,femmes,75,15.3
2014,femmes,75,14.9
2015,femmes,75,14.7
2016,femmes,75,14.9
2017,femmes,75,14.9
2018,femmes,75,15.1
2019,femmes,75,15.1
2020,femmes,75,14.7
2021,femmes,75,14.9
2022,femmes,75,14.8
2023,femmes,75,15.2
2024,femmes,75,15.3
1998,femmes,76,12.5
1999,femmes,76,12.4
2000,femmes,76,12.6
2001,femmes,76,12.6
2002,femmes,76,12.5
2003,femmes,76,12.1
2004,femmes,76,13.1
2005,femmes,76,13.0
2006,femmes,76,13.7
2007,femmes,76,13.9
2008,femmes,76,14.0
2009,femmes,76,14.1
2010,femmes,76,14.4
2011,femmes,76,14.7
2012,femmes,76,14.3
2013,femmes,76,14.6
2014,femmes,76,14.1
2015,femmes,76,13.9
2016,femmes,76,14.1
2017,femmes,76,14.1
2018,femmes,76,14.3
2019,femmes,76,14.3
2020,femmes,76,13.9
2021,femmes,76,14.1
2022,femmes,76,14.0
2023,femmes,76,14.5
2024,femmes,76,14.5
1998,femmes,77,11.8
1999,femmes,77,11.7
2000,femmes,77,11.9
2001,femmes,77,11.9
2002,femmes,77,11.7
2003,femmes,77,11.4
2004,femmes,77,12.4
2005,femmes,77,12.3
2006,femmes,77,12.9
2007,femmes,77,13.2
2008,femmes,77,13.2
2009,femmes,77,13.4
2010,femmes,77,13.6
2011,femmes,77,14.0
2012,femmes,77,13.5
2013,femmes,77,13.8
2014,femmes,77,13.4
2015,femmes,77,13.1
2016,femmes,77,13.3
2017,femmes,77,13.4
2018,femmes,77,13.5
2019,femmes,77,13.6
2020,femmes,77,13.1
2021,femmes,77,13.3
2022,femmes,77,13.2
2023,femmes,77,13.7
2024,femmes,77,13.7
1998,femmes,78,11.1
1999,femmes,78,11.0
2000,femmes,78,11.2
2001,femmes,78,11.2
2002,femmes,78,11.0
2003,femmes,78,10.6
2004,femmes,78,11.7
2005,femmes,78,11.5
2006,femmes,78,12.2
2007,femmes,78,12.5
2008,femmes,78,12.5
2009,femmes,78,12.6
2010,femmes,78,12.9
2011,femmes,78,13.2
2012,femmes,78,12.8
2013,femmes,78,13.0
2014,femmes,78,12.6
2015,femmes,78,12.3
2016,femmes,78,12.6
2017,femmes,78,12.6
2018,femmes,78,12.7
2019,femmes,78,12.8
2020,femmes,78,12.4
2021,femmes,78,12.6
2022,femmes,78,12.5
2023,femmes,78,12.9
2024,femmes,78,13.0
1998,femmes,79,10.4
1999,femmes,79,10.4
2000,femmes,79,10.5
2001,femmes,79,10.5
2002,femmes,79,10.3
2003,femmes,79,10.0
2004,femmes,79,10.9
2005,femmes,79,10.8
2006,femmes,79,11.5
2007,femmes,79,11.7
2008,femmes,79,11.8
2009,femmes,79,11.9
