year,sexe,age,esperance
2023,femmes,7,79.1
2024,femmes,7,79.2
1998,femmes,8,75.1
1999,femmes,8,75.1
2000,femmes,8,75.4
2001,femmes,8,75.4
2002,femmes,8,75.4
2003,femmes,8,75.1
2004,femmes,8,76.2
2005,femmes,8,76.2
2006,femmes,8,76.8
2007,femmes,8,77.1
2008,femmes,8,77.2
2009,femmes,8,77.3
2010,femmes,8,77.6
2011,femmes,8,78.0
2012,femmes,8,77.7
2013,femmes,8,78.0
2014,femmes,8,77.7
2015,femmes,8,77.5
2016,femmes,8,77.7
2017,femmes,8,77.7
2018,femmes,8,77.8
2019,femmes,8,77.9
2020,femmes,8,77.5
2021,femmes,8,77.6
2022,femmes,8,77.5
2023,femmes,8,78.1
2024,femmes,8,78.2
1998,femmes,9,74.1
1999,femmes,9,74.1
2000,femmes,9,74.4
2001,femmes,9,74.4
2002,femmes,9,74.4
2003,femmes,9,74.1
2004,femmes,9,75.2
2005,femmes,9,75.2
2006,femmes,9,75.8
2007,femmes,9,76.2
2008,femmes,9,76.2
2009,femmes,9,76.3
2010,femmes,9,76.6
2011,femmes,9,77.0
2012,femmes,9,76.7
2013,femmes,9,77.0
2014,femmes,9,76.7
2015,femmes,9,76.5
2016,femmes,9,76.7
2017,femmes,9,76.7
2018,femmes,9,76.8
2019,femmes,9,76.9
2020,femmes,9,76.5
2021,femmes,9,76.6
2022,femmes,9,76.5
2023,femmes,9,77.1
2024,femmes,9,77.2
1998,femmes,10,73.1
1999,femmes,10,73.2
2000,femmes,10,73.4
2001,femmes,10,73.4
2002,femmes,10,73.4
2003,femmes,10,73.2
2004,femmes,10,74.2
2005,femmes,10,74.2
2006,femmes,10,74.8
2007,femmes,10,75.2
2008,femmes,10,75.2
2009,femmes,10,75.3
2010,femmes,10,75.6
2011,femmes,10,76.1
2012,femmes,10,75.7
2013,femmes,10,76.0
2014,femmes,10,75.7
2015,femmes,10,75.5
2016,femmes,10,75.7
2017,femmes,10,75.7
2018,femmes,10,75.9
2019,femmes,10,76.0
2020,femmes,10,75.5
2021,femmes,10,75.6
2022,femmes,10,75.5
2023,femmes,10,76.1
2024,femmes,10,76.2
1998,femmes,11,72.1
